url,query,clicks,impressions,ctr_percent,avg_position,opportunity_score,reason,recommended_action
https://www.airwallex.com/hk-zh/blog/remittance-to-mainland-china,大陸匯款到香港限制,1,64,1.56,11.78,61.5,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk-zh/blog/business-registration-certificate,商業登記處派籌時間,1,35,2.86,11.0,35.0,High striking-distance opportunity,Improve content depth and internal links
https://www.airwallex.com/hk/blog/dbs-open-account,dbs business account,0,36,0.0,11.75,34.64,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk/blog/wise-payment-guide,wise payments hong kong limited hong kong (china) products,0,28,0.0,11.11,27.85,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk/blog/compare-business-bank-accounts,business account,0,31,0.0,13.29,27.45,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk-zh/blog/bank-codes,匯豐銀行號碼,0,20,0.0,12.2,18.8,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk-zh/blog/bank-codes,香港匯豐銀行分行編號查詢,0,18,0.0,11.11,17.9,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk-zh/blog/compare-business-bank-accounts,開公司戶口,1,19,5.26,12.68,17.4,High striking-distance opportunity,Improve content depth and internal links
https://www.airwallex.com/hk/blog/compare-business-bank-accounts,business account hong kong,0,24,0.0,16.5,17.39,Medium striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk-zh/blog/payment-methods-in-thailand,泰國支付方式,0,16,0.0,11.5,15.6,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk/blog/compare-business-bank-accounts,business account service,0,18,0.0,13.72,15.55,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk-zh/blog/why-your-bank-transfer-is-delayed,銀行工作天,0,16,0.0,11.75,15.4,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk-zh/blog/bank-codes,恒生號碼,0,16,0.0,13.0,14.4,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk/blog/boc-open-account,sme bank account,0,56,0.0,25.95,14.15,Lower ranking opportunity,Strengthen topical relevance and supporting sections
https://www.airwallex.com/hk-zh/blog/credit-card-handling-fees,信用卡 海外 簽 賬,0,15,0.0,13.13,13.4,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk-zh/blog/bank-codes,中信銀行bank code 018,0,13,0.0,11.0,13.0,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk-zh/blog/wire-transfers-what-is-it-how-they-work,tt payment,2,16,12.5,15.19,12.65,Other,Improve content depth and internal links
https://www.airwallex.com/hk/blog/boc-open-account,sme business account,0,21,0.0,19.57,12.0,Medium striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk-zh/blog/bank-codes,匯豐銀行 號碼,0,12,0.0,11.67,11.6,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk-zh/blog/bank-codes,汇丰银行代码,0,12,0.0,11.67,11.6,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk-zh/blog/credit-card-handling-fees,海外簽賬信用卡,0,15,0.0,15.6,11.55,Other,Refresh content and rewrite title/meta
https://www.airwallex.com/hk-zh/blog/bank-codes,026 bank code,0,12,0.0,11.92,11.45,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk/blog/international-accounting-software,accounting software,0,12,0.0,12.0,11.4,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk-zh/blog/open-virtual-bank-account,虛擬銀行,0,12,0.0,12.25,11.25,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk-zh/blog/bank-codes,匯豐編號,0,12,0.0,12.67,11.0,High striking-distance opportunity,Refresh content and rewrite title/meta
https://www.airwallex.com/hk-zh/blog/online-bookkeeping-software,bookkeeping,2,17,11.76,20.17,9.2,Other,Review manually
https://www.airwallex.com/hk/blog/compare-business-bank-accounts,business account hk,0,18,0.0,24.45,5.9,Lower ranking opportunity,Strengthen topical relevance and supporting sections
